@relation musicas

@attribute name string
@attribute acousticness numeric
@attribute danceability numeric
@attribute durationMs numeric
@attribute energy numeric
@attribute instrumentalness numeric
@attribute key numeric
@attribute liveness numeric
@attribute loudness numeric
@attribute speechiness numeric
@attribute timeSignature numeric
@attribute valence numeric
@attribute preferencia {GOSTO,NAO_GOSTO}

@data
'Your Love Is King - Remastered',0.482,0.728,221293,0.492,0.000062,9,0.0354,-5.054,0.0269,3,0.482,GOSTO
'Smooth Operator - Remastered',0.0758,0.687,256147,0.684,0.000808,9,0.0441,-5.181,0.032,4,0.0758,GOSTO
'Hang On to Your Love - Remastered',0.112,0.84,269240,0.713,0.000004,7,0.0783,-6.593,0.0296,4,0.112,GOSTO
'The Sweetest Taboo - Remastered',0.191,0.718,265187,0.913,0.0482,10,0.347,-6.777,0.0466,4,0.191,GOSTO
'Is It a Crime - Remastered',0.375,0.438,380933,0.458,0.0127,5,0.27,-6.492,0.0354,3,0.375,GOSTO
'Never as Good as the First Time - Remastered',0.183,0.668,236267,0.895,0.0132,6,0.111,-5.459,0.0364,4,0.183,GOSTO
'Jezebel - Remastered',0.809,0.357,326173,0.328,0.000385,2,0.134,-7.547,0.0312,4,0.809,GOSTO
'Love Is Stronger Than Pride - Remastered',0.872,0.357,257640,0.356,0.000786,9,0.106,-11.397,0.0309,4,0.872,GOSTO
'Paradise - Remastered Version',0.401,0.655,216067,0.876,0.545,5,0.0783,-6.721,0.04,4,0.401,GOSTO
'Nothing Can Come Between Us - Remastered',0.406,0.728,232667,0.68,0.34,5,0.0513,-9.488,0.0301,4,0.406,GOSTO
'No Ordinary Love - Remastered',0.641,0.619,438707,0.486,0.00883,11,0.0918,-10.421,0.0396,4,0.641,GOSTO
'Kiss of Life - Remastered',0.655,0.716,250653,0.582,0.0103,6,0.112,-8.114,0.0268,4,0.655,GOSTO
'Feel No Pain - Remastered',0.0469,0.726,308787,0.519,0.00161,8,0.126,-7.885,0.0576,4,0.0469,GOSTO
'Bullet Proof Soul - Remastered',0.195,0.645,325480,0.333,0.0062,11,0.129,-11.36,0.0391,4,0.195,GOSTO
'Cherish the Day - Remastered',0.152,0.73,378627,0.544,0.115,1,0.121,-9.231,0.0466,4,0.152,GOSTO
'Pearls - Remastered',0.926,0.144,272547,0.139,0.00696,7,0.104,-15.839,0.0298,1,0.926,GOSTO
'By Your Side - Remastered',0.0352,0.644,279747,0.496,0.00549,11,0.0915,-10.17,0.0291,4,0.0352,GOSTO
'Immigrant - Remastered',0.0323,0.761,227867,0.402,0.00175,2,0.132,-8.627,0.0636,4,0.0323,GOSTO
'Flow - Remastered',0.0369,0.661,273493,0.411,0.514,7,0.104,-11.131,0.089,4,0.0369,GOSTO
'King of Sorrow - Remastered',0.273,0.705,285587,0.485,0.168,8,0.0815,-9.306,0.0378,4,0.273,GOSTO
'Primeiro Avião',0.0972,0.558,253787,0.582,0,0,0.102,-9.862,0.036,4,0.0972,GOSTO
'Noites de Berlim',0.249,0.537,244413,0.479,0.000029,5,0.169,-10.403,0.0293,3,0.249,GOSTO
Basta,0.0428,0.508,249147,0.719,0,9,0.0894,-10.151,0.0339,4,0.0428,GOSTO
'Tango Novo',0.573,0.535,356080,0.511,0.000114,7,0.17,-10.824,0.0291,4,0.573,GOSTO
